Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Deposit,2023-10-11 23:13:57.859,,,,,,,,,,600.00,"EUR",,,"Transaction ID: DV7PL2FPH4L29C32",a8e17138-9156-45d7-954a-10fd59b4b26f,,,,,,
Market buy,2023-10-12 08:24:13,IE00B4L5Y983,EUNL,"iShares Core MSCI World (Acc)",2.5568240000,78.22,EUR,1.00000,,"EUR",200.00,"EUR",,,,EOF4600570963,,,,,,
Market buy,2023-10-12 13:30:01,US30303M1027,META,"Meta Platforms",0.6433275000,328.17,USD,1.05718,,"EUR",200.00,"EUR",,,,EOF4600581888,,,,,0.30,"EUR"
Market buy,2023-10-12 13:30:03,US0378331005,AAPL,"Apple",1.1725398000,180.09,USD,1.05739,,"EUR",200.00,"EUR",,,,EOF4600583188,,,,,0.30,"EUR"
Deposit,2023-10-12 17:34:47.123,,,,,,,,,,400.00,"EUR",,,"Transaction ID: FF77SHR9GPTWRP52",15191107-ca78-46e3-8cf5-f3fd8744f0db,,,,,,
Market buy,2023-10-12 17:45:37,US00206R1023,T,"AT&T",5.1912060000,14.33,USD,1.05353,,"EUR",70.72,"EUR",,,,EOF4650586344,,,,,0.11,"EUR"
Market buy,2023-10-12 17:45:38,US00206R1023,T,"AT&T",9.4902940000,14.33,USD,1.05349,,"EUR",129.28,"EUR",,,,EOF4650586349,,,,,0.19,"EUR"
Market buy,2023-10-12 18:00:33,US88160R1014,TSLA,"Tesla",0.0350621000,258.41,USD,1.05353,,"EUR",8.61,"EUR",,,,EOF4650587354,,,,,0.01,"EUR"
Deposit,2023-10-12 18:00:33.563,,,,,,,,,,8.62,"EUR",,,"Free Shares Promotion",bd0479d8-34c0-4e97-871c-e406a24ee599,,,,,,
Market buy,2023-10-13 07:00:32,IE00BFMXXD54,VUAG,"Vanguard S&P 500 (Acc)",2.5766390000,67.01,GBP,0.86459,,"EUR",200.00,"EUR",,,,EOF4651850874,,,,,0.30,"EUR"
Deposit,2023-11-07 00:01:43.501,,,,,,,,,,800.00,"EUR",,,"Transaction ID: RBB22J2B8PC5Q4C2",35e20ee4-9c02-43f8-a461-fcfb56ca6fbf,,,,,,
Market buy,2023-11-07 08:00:47,IE00BFMXXD54,VUAG,"Vanguard S&P 500 (Acc)",5.2123630000,66.55,GBP,0.86850,,"EUR",400.00,"EUR",,,,EOF5751474836,,,,,0.60,"EUR"
Market buy,2023-11-07 08:04:03,IE00B4L5Y983,EUNL,"iShares Core MSCI World (Acc)",3.0620920000,76.75,EUR,1.00000,,"EUR",235.03,"EUR",,,,EOF5751475707,,,,,,
Market buy,2023-11-07 08:04:05,IE00B4L5Y983,EUNL,"iShares Core MSCI World (Acc)",2.1494910000,76.75,EUR,1.00000,,"EUR",164.98,"EUR",,,,EOF5751475721,,,,,,
Dividend (Dividend),2023-11-16 13:30:36,US0378331005,AAPL,"Apple",1.1725398000,0.20,USD,Not available,,,0.22,"EUR",0.04,USD,,,,,,,,
Deposit,2023-11-20 18:29:40.993,,,,,,,,,,200.00,"EUR",,,"Transaction ID: Z8Q9KDFLMWHNWPG2",390385fa-58f7-4fac-aff7-baf5db85b6d0,,,,,,
Market buy,2023-11-20 18:31:15,US5949181045,MSFT,"Microsoft",0.5781679000,378.60,USD,1.09490,,"EUR",200.22,"EUR",,,,EOF6351653872,,,,,0.30,"EUR"
Deposit,2023-11-30 11:45:09.989,,,,,,,,,,1000.00,"EUR",,,"Bank Transfer",27c7a634-f112-4170-9251-b39110758cbc,,,,,,
Interest on cash,2023-11-30 22:09:50.631,,,,,,,,,,0.05,"EUR",,,"Interest on cash",77313b59-aa5a-4e2d-85ec-0e891d11ab2b,,,,,,
Market buy,2023-12-01 08:01:36,IE00BFMXXD54,VUAG,"Vanguard S&P 500 (Acc)",1.9008690000,67.94,GBP,0.86228,,"EUR",149.99,"EUR",,,,EOF6801051555,,,,,0.22,"EUR"
Market buy,2023-12-01 08:04:22,IE00B4L5Y983,EUNL,"iShares Core MSCI World (Acc)",1.8898330000,79.37,EUR,1.00000,,"EUR",150.00,"EUR",,,,EOF6801052280,,,,,,
Market buy,2023-12-01 08:04:23,IE00BK5BQT80,VWCE,"Vanguard FTSE All-World (Acc)",1.5000000000,103.58,EUR,1.00000,,"EUR",155.37,"EUR",,,,EOF6801052288,,,,,,
Market buy,2023-12-01 08:04:24,IE00BK5BQT80,VWCE,"Vanguard FTSE All-World (Acc)",5.2590758000,103.56,EUR,1.00000,,"EUR",544.63,"EUR",,,,EOF6801052314,,,,,,
Deposit,2023-12-05 14:30:10.528,,,,,,,,,,300.00,"EUR",,,"Bank Transfer",e405ee78-b7f3-40ec-bb23-67cd7a81ddc3,,,,,,
Market buy,2023-12-05 15:02:02.622,US00206R1023,T,"AT&T",18.8436040000,17.23,USD,1.08365,,"EUR",300.06,"EUR",,,,EOF7001300399,,,,,0.45,"EUR"
Deposit,2023-12-28 16:00:08.99,,,,,,,,,,800.00,"EUR",,,"Bank Transfer",32137509-1986-4136-81aa-fe2cd02e0a12,,,,,,
Market buy,2023-12-28 17:50:29.807,US30303M1027,META,"Meta Platforms",1.1328406000,360.02,USD,1.10746,,"EUR",368.82,"EUR",,,,EOF7951633248,,,,,0.55,"EUR"
Market buy,2023-12-28 17:51:50.62,US30303M1027,META,"Meta Platforms",1.3234097000,360.32,USD,1.10759,,"EUR",431.18,"EUR",,,,EOF7951633329,,,,,0.65,"EUR"
Deposit,2024-01-02 00:01:23.458,,,,,,,,,,200.00,"EUR",,,"Bank Transfer",35398b9f-c474-489f-b87d-b50c395af8c2,,,,,,
Withdrawal,2024-01-02 00:13:00.46,,,,,,,,,,-200.00,"EUR",,,"Sent to card **** 8003",53465c65-60e7-48be-944b-2f4f1c232ed2,,,,,,
Deposit,2024-01-03 08:30:54.269,,,,,,,,,,215.21,"USD",,,"Bank Transfer",3d91a8a8-6254-4b1c-a3ff-5bfb08be87b9,,,,,,
Market buy,2024-01-03 19:33:58.051,US30051E1047,EVVTY,"Evolution",1.8367320000,117.17,USD,1.00000,,"USD",215.21,"USD",,,,EOF8251485482,,,,,,
Market sell,2024-01-16 15:18:27.881,US30303M1027,META,"Meta Platforms",0.2696141000,370.90,USD,1.00000,4.68,"USD",100.00,"USD",,,,EOF8901415860,,,,,,
Currency conversion,2024-01-16 15:22:04.089,,,,,,,,,,-0.14,"EUR",,,"100 USD -> 91.90 EUR",9J3FYGDH043VCECM,100.00,"USD",91.90,"EUR",-0.14,"EUR"
Withdrawal,2024-01-16 16:23:20.246,,,,,,,,,,-91.76,"EUR",,,"Sent to card **** 8003",eb0e1a71-48b1-49d7-bb7c-9377a1d04d97,,,,,,
Deposit,2024-01-29 10:45:16.737,,,,,,,,,,1000.00,"EUR",,,"Bank Transfer",a31c627f-50b5-41d7-b54f-b3769109a026,,,,,,
Interest on cash,2024-01-29 22:13:53.839,,,,,,,,,,0.04,"EUR",,,"Interest on cash",583bdc56-ae76-4d01-b6a3-0a2e0a799ecf,,,,,,
Interest on cash,2024-01-30 22:16:21.348,,,,,,,,,,0.11,"EUR",,,"Interest on cash",4e974155-58be-4682-ab7c-f68927ea1917,,,,,,
Market sell,2024-01-31 15:16:54.134,US30303M1027,META,"Meta Platforms",2.8299637000,393.49,USD,1.00000,113.06,"USD",1113.56,"USD",,,,EOF9650828347,,,,,,
Market buy,2024-01-31 16:02:09.666,US88160R1014,TSLA,"Tesla",0.5937051000,190.33,USD,1.00000,,"USD",113.00,"USD",,,,EOF9650841272,,,,,,
Market sell,2024-01-31 16:35:00.356,US30051E1047,EVVTY,"Evolution",1.8367320000,117.90,USD,1.00000,1.34,"USD",216.55,"USD",,,,EOF9650848470,,,,,,
Currency conversion,2024-01-31 16:55:58.855,,,,,,,,,,-1.68,"EUR",,,"1217.11 USD -> 1121.01 EUR",JJU3MOMBVK88797K,1217.11,"USD",1121.01,"EUR",-1.68,"EUR"
Interest on cash,2024-01-31 22:15:21.396,,,,,,,,,,0.24,"EUR",,,"Interest on cash",b3f2712b-9f4c-4709-9d46-d9a3391ca903,,,,,,
Dividend (Dividend),2024-02-01 10:32:42,US00206R1023,T,"AT&T",33.5251040000,0.24,USD,Not available,,,7.32,"EUR",1.40,USD,,,,,,,,
Interest on cash,2024-02-01 22:15:58.88,,,,,,,,,,0.24,"EUR",,,"Interest on cash",33fd8542-7d8f-4a40-9efd-41f9f11c0946,,,,,,
Interest on cash,2024-02-02 22:14:12.593,,,,,,,,,,0.24,"EUR",,,"Interest on cash",5f166671-5b64-4697-a8a2-71fd011faee2,,,,,,
Lending interest,2024-02-03 02:26:08.962,,,,,,,,,,0.01,"EUR",,,"Share lending interest",02eefa88-aa47-4eff-8f68-7adebcdf0302,,,,,,
